datetime,RadiantOutput,Temperature,RadiativeHeat,footprint,SatZenithAngle,quality,Porosity,AI,date,MarkerSize
2019-05-23 01:34:49+00:00,10.12,1555.85,9.48,14.95,0,1,7.045249972,4.550664722,2019-05-23,10.17724145
2019-05-23 01:34:49+00:00,0.51,1658.85,0.35,0.45,0,1,8.407759929,4.314817,2019-05-23,4.46113129
2019-05-23 01:34:49+00:00,1.11,1692.85,1.07,1.27,0,1,6.900897167,4.552086833,2019-05-23,5.898939445
2019-05-23 01:34:49+00:00,2.53,1543.85,2.61,4.22,0,1,8.432404938,4.254145563,2019-05-23,7.372047425
2019-05-23 01:34:49+00:00,0.54,1738.85,0.56,0.6,0,1,6.667417,4.54974025,2019-05-23,5.017356963
2019-05-23 01:34:49+00:00,56.27,1526.85,40.89,68.69,0,1,8.170673833,4.2926055,2019-05-23,14.66669535
2019-05-23 01:34:49+00:00,1.79,1686.85,2.1,2.5,0,1,6.075924833,4.6606605,2019-05-23,6.982047792
2019-05-23 01:34:49+00:00,0.97,1634.85,0.67,0.9,0,1,8.406043071,4.292390071,2019-05-23,5.247430488
2019-05-23 01:34:52+00:00,0.53,1589.85,0.58,0.85,0,1,6.323638556,4.451219222,2019-05-23,5.061567023
2019-05-23 01:34:52+00:00,2.09,1567.85,1.57,2.41,0,1,7.97353385,4.1456898,2019-05-23,6.492364684
2019-05-23 01:34:56+00:00,0.64,1554.85,0.5,0.79,0,1,7.757029143,3.955312286,2019-05-23,4.877199208
2019-05-23 01:34:58+00:00,19.66,1546.85,14.11,22.67,0,1,8.125638,3.858421692,2019-05-23,11.24112422
2019-05-23 01:35:10+00:00,118.5,1508.85,147.52,258.19,0,1,5.560804881,3.463642708,2019-05-23,20.2134628
2019-05-23 01:35:31+00:00,2.01,1681.85,1.57,1.9,0,1,9.295084214,1.539846929,2019-05-23,6.492364684
2019-05-23 01:36:03+00:00,1.37,1570.85,0.99,1.51,0,1,9.343285,-0.391237333,2019-05-23,5.785445306
2019-05-23 01:36:10+00:00,0.73,1596.85,0.58,0.83,0,1,8.755215167,-0.753249,2019-05-23,5.061567023
2019-05-23 01:36:16+00:00,0.5,1588.85,0.4,0.58,0,1,8.593447636,-1.032926909,2019-05-23,4.612570227
2019-05-23 01:36:28+00:00,1.12,1721.85,0.71,0.79,0,1,9.996640867,-2.0333405,2019-05-23,5.324055582
2019-05-23 01:36:32+00:00,0.7,1504.85,0.49,0.87,0,1,9.1636857,-2.07542255,2019-05-23,4.852628154
2019-05-23 01:36:34+00:00,0.27,1687.85,0.19,0.22,0,1,9.177637685,-2.2235975,2019-05-23,3.829273566
2019-05-23 01:36:59+00:00,0.31,1657.85,0.18,0.22,0,1,10.96348,-3.95609225,2019-05-23,3.777862262
2019-05-23 01:37:04+00:00,0.74,1611.85,0.44,0.61,0,1,12.0381145,-4.484251833,2019-05-23,4.723796311
2019-05-23 01:37:04+00:00,10.58,1537.85,6.21,10.18,0,1,12.05342663,-4.514464571,2019-05-23,9.155896899
2019-05-23 01:37:06+00:00,3.71,1501.85,2.14,3.8,0,1,11.41870381,-4.521495738,2019-05-23,7.015060759
2019-05-23 01:37:06+00:00,0.89,1609.85,0.51,0.72,0,1,11.25344675,-4.4835595,2019-05-23,4.901404414
2019-05-23 01:37:07+00:00,1.19,1515.85,0.69,1.19,0,1,11.815849,-4.6697335,2019-05-23,5.286159539
2019-05-23 01:37:09+00:00,0.76,1538.85,0.44,0.71,0,1,11.41158325,-4.7468705,2019-05-23,4.723796311
2019-05-23 01:37:13+00:00,28.93,1563.85,16.68,25.82,0,1,11.38246825,-4.923636107,2019-05-23,11.72133302
2019-05-23 01:37:16+00:00,5.62,1587.85,3.27,4.81,0,1,11.72012763,-5.195660625,2019-05-23,7.799467123
2019-05-23 01:37:16+00:00,0.75,1519.85,0.44,0.75,0,1,11.84821943,-5.254280286,2019-05-23,4.723796311
2019-05-23 01:37:16+00:00,8.71,1590.85,5.07,7.4,0,1,11.70926107,-5.214683464,2019-05-23,8.703220434
2019-05-23 01:37:18+00:00,27.98,1504.85,16.22,28.64,0,1,11.56534955,-5.273324051,2019-05-23,11.63967103
2019-05-23 01:37:23+00:00,0.4,1619.85,0.23,0.32,0,1,11.7061205,-5.605261333,2019-05-23,4.016612658
2019-05-23 01:37:27+00:00,0.34,1721.85,0.21,0.23,0,1,12.40550825,-5.9377955,2019-05-23,3.926294008
2019-05-23 01:37:34+00:00,5.03,1500.85,2.9,5.16,0,1,11.03119942,-6.1418415,2019-05-23,7.568808079
2019-05-23 01:37:36+00:00,7.05,1510.85,4.06,7.08,0,1,10.73149275,-6.2429715,2019-05-23,8.233026285
2019-05-23 01:37:45+00:00,7.1,1508.85,4.46,7.8,0,1,12.41171771,-7.066345875,2019-05-23,8.428721578
2019-05-23 01:37:52+00:00,0.87,1502.85,0.51,0.9,0,1,11.286602,-7.23850775,2019-05-23,4.901404414
2019-05-23 01:37:54+00:00,0.3,1638.85,0.18,0.23,0,1,11.3707935,-7.36725,2019-05-23,3.777862262
2019-05-23 01:37:55+00:00,11.21,1600.85,6.92,9.89,0,1,12.11141788,-7.591134846,2019-05-23,9.407073064
2019-05-23 01:37:59+00:00,0.29,1585.85,0.18,0.26,0,1,12.1108045,-7.852117,2019-05-23,3.777862262
2019-05-23 02:00:46.333333+00:00,1.016666667,1847.516667,3.94,4.32,0,1,5.938222158,31.46440956,2019-05-23,8.171504967
2019-05-23 02:01:19.333333+00:00,1.073333333,1724.183333,5.51,6.54,0,1,10.02314813,28.94105075,2019-05-23,8.886196106
2019-05-23 02:08:05.400000+00:00,0.976,1567.65,6.69,10.88,0,1,9.237963111,28.72451161,2019-05-23,9.327913777
2019-05-23 02:16:34.750000+00:00,8.0075,1596.85,50.38,72.53,0,1,12.05877073,33.85982359,2019-05-23,15.45227876
2019-05-23 02:17:47.500000+00:00,14.04,1528.85,37.06,61.89,0,1,6.542052444,30.40759294,2019-05-23,14.31048482
2019-05-23 02:18:06.500000+00:00,1.29,1539.35,3.58,5.9,0,1,6.491854857,29.26331557,2019-05-23,7.978086675
2019-05-23 02:18:13.500000+00:00,2.63,1521.35,7.44,12.75,0,1,7.6885475,28.64911583,2019-05-23,9.579023252
2019-05-23 02:18:14.500000+00:00,1.105,1543.85,3.06,4.96,0,1,7.6146496,28.6355624,2019-05-23,7.67111247
2019-05-23 03:01:17+00:00,0.44,1624.85,0.26,0.36,0,1,2.0657035,56.39802375,2019-05-23,4.141630312
2019-05-23 03:01:24+00:00,0.4,1572.85,0.23,0.35,0,1,5.029025,55.53676333,2019-05-23,4.016612658
2019-05-23 03:01:35+00:00,5.16,1630.85,4.76,6.38,0,1,-3.6737638,56.0070339,2019-05-23,8.567019033
2019-05-23 03:02:33+00:00,1,1601.85,0.62,0.89,0,1,4.2814678,51.3527284,2019-05-23,5.146665181
2019-05-23 03:02:44+00:00,7.06,1518.85,4.1,7.01,0,1,2.282842625,51.035982,2019-05-23,8.253230182
2019-05-23 03:03:55+00:00,2.87,1547.85,1.73,2.77,0,1,-2.054603078,47.31579763,2019-05-23,6.651805155
2019-05-23 03:05:05+00:00,0.55,1545.85,0.41,0.67,0,1,-5.898793333,43.5556405,2019-05-23,4.641132398
2019-05-23 03:06:31+00:00,1.04,1552.35,1.38,2.19,0,1,-0.917233021,37.56674486,2019-05-23,6.286338535
2019-05-23 03:06:35+00:00,0.36,1712.85,0.76,0.86,0,1,11.4044318,34.2939072,2019-05-23,5.415410612
